title,产品型号,店铺型号,CPU,核显/独显,核心数,线程数,TDP,最大加速频率,基准频率,三级缓存,光刻,内存,硬盘,屏幕尺寸,分辨率,屏幕信息,机身尺寸,重量,颜色,壳体材料,前摄,键盘语言,键盘背光,触控板,扬声器,麦克风,电池类型,电池容量,左侧接口,右侧接口,防盗锁,WiFi模块,WiFi标准,蓝牙,操作系统,电源适配器,sources,duplicates,sheet,group_start_col,group_end_col,安全,6MB,4M,6M
R5-7430产品规格书,W042-45A-ID12,aierxuan幻影Air14/R5-7430,AMD 锐龙™ 5 7430U 处理器,AMD Radeon™ Graphics,6,12,热设计功耗:15W,4.3GHz,2.3GHz,16MB,,2个DDR4 SODIMM插槽，3200MHz，每个插槽最高支持32GB*​,"1个M.2 2280接口，支持NVMe PCIe 3.0或SATA协议*​
1个M.2 2242接口，支持NVMe PCIe 3.0或SATA协议*​",14英寸,2880x1800,14英寸QHD屏 / 分辨率2880×1800 / 16:10比例窄边框 / 120Hz刷新率 / 100% sRGB色域 / 400尼特亮度,尺寸：314mm x 219.55mm x 19.8mm,1.5KG±20g,灰色,A壳铝塑复合材料 + B/C/D 塑料,高清网络摄像头（带数字麦克风1），30万像素**​,美式英文,支持3级背光调节,尺寸: 114 x 68 mm，材质: PC+喷涂,内置双扬声器，每个2W/4Ω,支持数字麦克风,锂聚合物电池,3芯60Wh，11.61V，5151mAh,"端口1: USB Type C (USB2.0)(仅数据传输)​
端口2: USB Type C (USB2.0 Gen1,5Gbps)(支持PD3.0/DP1.4/数据传输)​
端口3: HDMI 1.4接口
端口4: DC电源接口(外径3.5mm/内径1.35mm)
端口5：电源指示灯","端口1:USB Type A (USB2.0)​
端口2:USB Type A (USB2.0 Gen1,5Gbps)​
端口3:USB Type A (USB2.0)​
端口4:3.5mm复合音频接口","肯辛顿锁,物理锁接口",M.2 2230规格,RTL8852BE Wi-Fi 6 (802.11ax) 双频2.4GHz/5GHz,5.2,Windows11/Linux,"输入100-240V交流电,50/60Hz通用,输出20V×3.25A,65W","灵感系列, 爱尔轩产品一览表",2,爱尔轩产品一览表,A,I,fTPM 2.0,,,
I7-6600U产品规格书,15.4寸,Air15-Ultra/I7-6600U,Intel® 酷睿™ i7 处理器 i7-6600U,Intel® HD Graphics 520,2,4,热设计功耗:15W,3.4GHz,2.6GHz,4M,,SODIMM*2 _8GB/16GB/32GB (可选),M.2接口(2280)*1，支持SATA,15.4英寸,1920x1080,15.4英寸IPS屏 / 分辨率1920×1080,尺寸：348.5*221.7*18.4mm,约 1.538kg,太空灰,A五金CD塑胶,高清网络摄像头，30万像素,美式英文,带背光的内置键盘,HID-I2C,立体声双喇叭 8Ω/1.0W,内置数字麦*1,可充式锂离子聚合物电池 7.6V,5000mAh/38Wh/续航3小时左右,"端口1: USB Type C (USB3.0)
端口2: DC接口  直径∮3.5毫米
端口3: 充电指示灯
端口4: mini HDMI","端口1:安全锁,物理锁接口​
端口2:USB Type C (USB3.0)​
端口3:∮ 3.5毫米标准耳机插孔​
端口4:TF卡槽",,M.2 2230规格,WIFI 5双频 - Support 802.11B/G/N&AC (可选),BT 4.2,Windows10/Windows11,"输入100-240V~1.0A交流电,50/60Hz通用,输出19V×2.37A","小轩系列, 爱尔轩产品一览表",2,爱尔轩产品一览表,A,I,fTPM 2.0,,,
i3-6100U产品规格书,14英寸TU140 14 inches,Air14-Pro2025/i3-6100U,英特尔® 酷睿™ i3-6100U 处理器,Intel® HD Graphics 520,2,4,热设计功耗:15W,/,2.3GHz,,14nm,2*SODIMM DDR4  Up to 32GB,M.2接口(2280)*1，支持SATA/NVME,14英寸,1920x1200,14英寸EDP FHD屏 / 分辨率1920×1200/16:10窄边框,尺寸：314.4mm*220mm*19.9mm,约 1.6kg,银色,ABS+PC,高清网络摄像头，30万像素,美式英文,/,Yes (一体式),立体声双喇叭,内置数字麦*1,锂离子聚合物电池 7.7V,2芯 2S1P 7.7V  5000Mah,"端口1: DC接口  直径∮3.5毫米 19V 3.42A
端口2: Type-c  默认支持USB3.0（可选USB+DP）
端口3: HDMI  Support 4K 24HZ
端口4: USB Type C (USB3.0)
端口5:安全锁","端口1:∮3.5毫米标准耳机插孔​
端口2:USB Type C (USB3.0)
端口3:USB Type C (USB3.0)
端口4:TF卡槽",,M.2 2230规格,WIFI 5双频 - Support 802.11B/G/N&AC,BT 4.0,Windows10/Windows11,"输入100-240V~1.0A交流电,50/60Hz通用,输出19V×3.42A","小轩系列, 爱尔轩产品一览表",2,爱尔轩产品一览表,A,I,fTPM 2.0,,,
DU61/i9-11900H产品规格书,DU61,DU61/i9-11900H,英特尔® 酷睿™ i9-11900H 处理器,Intel® UHD Graphics,8,16,"热设计功耗:45W
TDP",4.9GHz,2.5GHz,6MB,,DDR4 16GB/2666MHz  （可拆卸升级），支持32G（单个内存卡槽）,1个M.2 2280接口，支持NVMe PCIe 4.0,15.6英寸,,15.6英寸高清屏（1920*1080）屏幕比例：16:9/材质：IPS面板/ 刷新率：60Hz,尺寸：357*226*19mm,1.7KG±20g,银色,铝合金（A壳）+塑胶复合材质（BCD壳）,高清网络摄像头，100万像素,美式英文,背光功能键盘,材质: PC+喷涂 带指纹,内置双扬声器,支持数字麦克风,可充式锂离子聚合物电池11.55V,5000mAh/57.75Wh,"端口1: DC充电口 20V5A
端口2: Type C接口​
端口3: HDMI口​
端口4：USB 3.0接口
端口5：电脑锁","端口1: 耳麦复合接口
端口2: USB 3.0接口​
端口3: USB 3.0接口
端口4：TF卡槽",,M.2 2230规格,AX200/AX101,BT 5.0,Windows11,"输入100-240V交流电,50/60Hz通用,输出20V/5A","小轩系列, 爱尔轩产品一览表",2,爱尔轩产品一览表,K,S,fTPM 2.0,跑分图：,,
灵感I5-12450H产品规格书,灵感i5-12450H,灵感14Pro/i5-12450H,英特尔® 酷睿™i5-12450H处理器,"Intel ® UHD Graphics
 for 13th Gen Intel® Processors",8,12,"热设计功耗:45W
TDP",4.4GHz,2.0GHz,12MB,,镁光LPDDR5 16GB/6400MHz（板载内存）,M.2（2280）NVME SSD（PCIe 4）或 M.2 SATA3 SSD,14英寸,,14英寸高清屏（2800*1800）屏幕比例：16:10/材质：IPS面板/亮度：400尼特/色域：97NTSC / 135%sRGB 刷新率：120Hz,尺寸：314mmX218X15mm,1.13KG±20g,青/紫/银,A/D 盖为金属材质 B/C 盖为聚碳酸酯 (PC) 材质,高清网络摄像头（带数字麦克风*1），100万像素720P网络摄像头,美式英文,2档背光功能键盘,材质: PC+喷涂,内置双扬声器,支持数字麦克风,3芯锂聚合物电池,3 芯锂聚合物电池，11.55V，4200 mAh,"端口1: USB Type C (全功能Type-c，可充电)​
端口2: 充电指示灯​
端口3: USB Type C (全功能Type-c，可充电)​",端口1:3.5mm复合音频接口,,M.2 2230规格,瑞昱 Realtek 8821CE Wireless LAN 802.11ax PCI-E NIC,BT 5.0,Windows11,"输入100-240V交流电,50/60Hz通用,输出9V/3.42A 支持65W氮化镓PD快充","灵感系列, 爱尔轩产品一览表",2,爱尔轩产品一览表,K,S,fTPM 2.0,,,
灵感I7-13620H产品规格书,灵感i5-13620H,灵感14Ultra/i7-13620H,英特尔® 酷睿™i7-13620H处理器,"Intel ® UHD Graphics
 for 13th Gen Intel® Processors",10,16,"热设计功耗:45W
TDP",4.9GHz,2.2GHz,24MB,,镁光LPDDR5 16GB/6400MHz（板载内存）,M.2（2280）NVME SSD（PCIe 4）或 M.2 SATA3 SSD,14英寸,,14英寸高清屏（2800*1800）屏幕比例：16:10/材质：IPS面板/亮度：400尼特/色域：97NTSC / 135%sRGB 刷新率：120Hz,尺寸：314mmX218X15mm,1.13KG±20g,青/紫/银,A/D 盖为金属材质 B/C 盖为聚碳酸酯 (PC) 材质,高清网络摄像头（带数字麦克风*1），200万像素1080P物理防窥摄像头,美式英文,2档背光功能键盘,材质: PC+喷涂,内置双扬声器,支持数字麦克风,3芯锂聚合物电池,3 芯锂聚合物电池，11.55V，4200 mAh,"端口1: USB Type C (全功能Type-c，可充电)​
端口2: 充电指示灯​
端口3: USB Type C (全功能Type-c，可充电)​",端口1:3.5mm复合音频接口,,M.2 2230规格,瑞昱 Realtek 8821CE Wireless LAN 802.11ax PCI-E NIC,BT 5.0,Windows11,"输入100-240V交流电,50/60Hz通用,输出9V/3.42A 支持65W氮化镓PD快充","灵感系列, 爱尔轩产品一览表",2,爱尔轩产品一览表,K,S,fTPM 2.0,,,
灵感i3-1215U产品规格书,灵感i3-1215U,灵感14Air/i3-1215U,英特尔® 酷睿™ i3-1215U 处理器,"Intel® UHD Graphics 
for 12th Gen Intel® Processors",6,8,"热设计功耗:15W
TDP",4.4GHz,1.2GHz,10MB,,DDR4 板载,1个M.2 2280接口，支持NVMe PCIe 4.0,14英寸,,"14英寸高清屏（1920*1200）屏幕比例：16:10/材质：IPS面板/亮度：300尼特/色域：70NTSC / 98%sRGB 
刷新率：60Hz",尺寸：314mmX218X15mm,1.05KG±20g,青/紫/银,A/D 盖为金属材质 B/C 盖为聚碳酸酯 (PC) 材质,高清网络摄像头（带数字麦克风*1），100万像素720P物理防窥摄像头,美式英文,2档背光功能键盘,材质: PC+喷涂,内置双扬声器,支持数字麦克风,3芯锂聚合物电池,3 芯锂聚合物电池，11.55V，4200 mAh,"端口1: USB Type C (全功能Type-c)​
端口2: 充电指示灯​
端口3: USB Type C (全功能Type-c)​",端口1:3.5mm复合音频接口,,M.2 2230规格,瑞昱 Realtek 8821CE Wireless LAN 802.11ax PCI-E NIC,BT 5.0,Windows11,"输入100-240V交流电,50/60Hz通用,输出9V/3.42A 支持65W氮化镓PD快充","灵感系列, 爱尔轩产品一览表",2,爱尔轩产品一览表,U,AC,fTPM 2.0,,,
Air14/N5095产品规格书,V14/XU141,Air14,英特尔® 赛扬® 处理器 N5095,Intel® UHD Graphics,4,4,"热设计功耗:15W
TDP",2.9,2.0GHz,4M,,LPDDR4 6GB/8GB/12GB/16GB/32GB (可选)（板载内存）,M.2（2280）、SATA 3.0,14英寸,,14英寸IPS全面屏（1920*1080）屏幕比例：16:9/亮度：400尼特/色域：72NTSC 刷新率：60Hz,尺寸：322*210*21mm,1.4KG±20g,银,复合材质,30万像素网络高清摄像头,美式英文,背光功能键盘,材质: PC+喷涂,内置双扬声器 8Ω/1.0W,支持数字麦克风,可充式锂离子聚合物电池7.7V,5000mAh/38Wh,"端口1: USB 3.0​
端口2: DC充电口​
端口3: miniHDMI接口","端口1: USB 2.0​
端口2: 耳麦复合音频口​
端口3: TF卡槽",,M.2 2230规格,Fn-Link6221 - Support 802.11B/G/N&AC,BT4.2,Windows11/Window10,"输入100-240V交流电,50/60Hz通用,输出12V/3A   DC充电","小轩系列, 爱尔轩产品一览表",2,爱尔轩产品一览表,U,AC,fTPM 2.0,,跑分图：,
Air15/N5095产品规格书,V15/XU156,Air15,英特尔® 赛扬® 处理器 N5095,Intel® UHD Graphics,4,4,"热设计功耗:15W
TDP",2.9,2.0GHz,4M,,LPDDR4 6GB/8GB/12GB/16GB/32GB (可选)（板载内存）,M.2（2280）、SATA 3.0,15.6英寸,,15.6英寸IPS全面屏（1920*1080）屏幕比例：16:9/亮度：400尼特/色域：72NTSC 刷新率：60Hz,尺寸：357*230*20.5mm,1.6KG±20g,银、粉,复合材质,30万像素网络高清摄像头,美式英文,背光功能键盘,材质: PC+喷涂,内置双扬声器 8Ω/1.0W,支持数字麦克风,可充式锂离子聚合物电池7.7V,5400mAh/38Wh,"端口1: USB 3.0​
端口2: DC充电口​
端口3: miniHDMI接口","端口1: USB 2.0​
端口2: 耳麦复合音频口​
端口3: TF卡槽",,M.2 2230规格,Fn-Link6221 - Support 802.11B/G/N&AC,BT4.2,Windows11/Window10,"输入100-240V交流电,50/60Hz通用,输出12V/3A   DC充电","小轩系列, 爱尔轩产品一览表",2,爱尔轩产品一览表,U,AC,fTPM 2.0,,跑分图：,
X133 N100双屏产品规格书,15.6寸,耀星15S/N100,英特尔® 处理器 N100,Intel® UHD Graphics,4,4,热设计功耗:6W,3.4GHz,0.8GHz,6M,,DDR4 -16GB/32GB 单内存卡槽,M.2接口(2280)*1，512G/1TB/2TB超速固态硬盘，比普通固态硬盘读写速度约提升6倍，支持SATA协议,双屏 大屏15.6英寸 + 小屏7英寸带触摸（10点触控）,,"主 15.6英寸全面屏 2K高清屏1920*1080分辨率-60Hz，
                      副 1280*800（副屏支持触控，也支持1024压感笔，十点触摸）",尺寸：357*225*21.3mm,约 1.6kg,太空灰,复合塑胶,0.3M 高清网络摄像头,美式英文,带背光的内置键盘,119X85mm触摸板 带指纹功能,内置双声道腔体喇叭 8R/1.0W*2,内置数字麦*1,7.7V 聚合物锂电池,5400mAh 7.7v,"端口4:USB Type C (USB3.0)​
端口5:mini HDMI接口​
端口6:DC接口 12V/3A
端口7:USB3.0","端口1:USB3.0
端口2:∮ 3.5毫米标准耳机插孔​
端口3:TF卡槽（最大支持128G）",,M.2 2230规格,WIFI 5双频 - WIFI 802.11ac/b/g/n+BT,BT 4.2,Windows10/Windows11,"输入100-240V~1.0A交流电,50/60Hz通用,输出12V×3A",小轩系列,1,小轩系列,K,S,fTPM 2.0,,,360562
